ID,title,paymentMethod,couponDiscount,purchaseValue,giftwrapping,throughAffiliate,shippingFees,dvd,blueray,vinyl,videogame,videogameDownload,tvEquiment,prodOthers,prodSecondHand,returnCustomer
140,Mr,Invoice,0,3,0,0,0,0,0,1,0,0,0,0,0,1
141,Others,Invoice,1,4,0,0,0,1,0,0,0,0,0,0,0,1
142,Mr,Cash,0,4,0,0,0,1,0,0,0,0,0,0,0,0
143,Mr,Current Account,1,1,0,1,0,1,1,0,0,0,0,0,0,0
145,Mr,Invoice,0,3,0,0,1,2,0,0,0,0,0,0,0,0
146,Mrs,Cash,0,1,0,1,0,0,0,0,0,0,0,1,0,0
149,Company,Invoice,0,3,0,1,0,2,0,0,0,0,0,0,0,0
150,Mrs,Invoice,0,4,0,0,0,0,0,0,0,0,0,1,0,0
151,Company,Cash,0,2,0,1,0,2,0,0,0,0,0,0,0,1
152,Mr,Cash,0,1,0,1,0,0,0,1,0,0,0,0,0,0
153,Mrs,Invoice,0,1,0,0,0,0,0,0,0,1,0,0,0,0
154,Mr,Credit Card,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,Mr,Current Account,0,1,0,0,0,0,0,0,0,0,0,0,0,0
156,Mrs,Current Account,0,2,0,1,0,1,0,0,0,0,0,0,0,0
157,Company,Cash,0,5,0,0,0,0,0,0,0,0,0,0,0,1
158,Others,Invoice,0,5,0,0,0,0,0,1,0,0,0,0,0,0
159,Others,Invoice,0,5,0,0,0,0,0,1,0,0,0,0,0,1
160,Mr,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,1
161,Mrs,Cash,0,3,0,1,0,0,0,0,0,0,0,0,0,0
162,Mr,Invoice,0,4,0,0,0,2,0,0,0,0,0,0,0,0
163,Mrs,Cash,0,3,0,0,0,0,0,0,0,0,0,0,0,0
164,Mr,Invoice,1,1,0,1,0,1,1,0,0,0,0,0,0,0
165,Others,Credit Card,0,1,0,0,0,0,0,0,0,1,0,0,0,1
166,Mrs,Cash,0,1,0,1,0,0,1,0,0,0,0,0,0,0
167,Mr,Cash,0,2,0,1,0,0,1,0,0,0,0,0,0,1
168,Mr,Current Account,0,4,0,0,0,1,0,0,0,0,0,1,0,0
169,Mr,Cash,0,2,0,1,0,0,0,0,0,0,0,0,0,0
170,Company,Invoice,0,1,0,0,0,0,0,0,0,0,0,0,0,0
172,Mrs,Invoice,0,4,0,1,0,0,0,0,0,0,0,0,0,0
173,Mrs,Invoice,0,2,0,0,1,0,0,0,0,0,0,0,0,0
174,Mr,Current Account,0,3,0,0,0,1,0,0,0,0,0,0,1,0
175,Mrs,Cash,0,4,0,0,0,1,0,0,0,0,0,0,0,0
176,Mr,Invoice,0,3,0,0,0,1,0,0,0,0,0,0,0,0
177,Mr,Invoice,1,1,0,1,1,1,0,0,0,0,0,0,0,0
178,Mr,Current Account,1,1,0,1,1,1,0,0,0,0,0,0,0,0
180,Mr,Invoice,0,5,0,0,0,0,0,0,0,0,0,0,0,1
181,Mr,Cash,0,4,0,1,0,2,0,0,0,0,0,0,0,0
182,Mrs,Cash,0,3,0,1,0,0,0,0,0,0,0,0,0,0
183,Mrs,Credit Card,0,5,0,0,0,0,0,0,1,0,0,0,0,0
184,Mrs,Cash,0,4,0,1,0,1,0,0,0,0,0,0,0,0
185,Mr,Current Account,1,1,0,0,0,0,0,0,0,0,0,0,0,1
186,Mr,Current Account,0,1,0,0,1,0,0,1,0,0,0,0,0,0
187,Others,Credit Card,0,2,0,0,0,0,0,0,0,0,0,0,0,0
188,Mr,Current Account,1,1,0,1,0,0,2,0,0,0,0,0,0,0
190,Mrs,Invoice,0,1,0,0,1,0,0,0,0,0,0,0,1,0
191,Mrs,Current Account,0,2,0,0,0,0,0,0,0,1,0,0,0,0
192,Mr,Cash,0,4,0,1,0,1,0,0,0,0,0,0,0,0
193,Mr,Cash,0,2,0,1,0,0,0,0,0,0,0,0,0,0
195,Mrs,Cash,0,4,0,1,0,1,0,0,0,0,0,1,0,0
196,Mrs,Current Account,0,5,0,0,0,0,0,0,0,0,0,0,0,0
197,Mrs,Current Account,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199,Mrs,Current Account,1,1,0,1,0,0,0,0,0,0,0,0,0,0
200,Mr,Credit Card,0,2,0,0,0,0,0,0,0,0,0,0,0,0
202,Mrs,Credit Card,0,3,0,1,1,0,0,0,0,0,0,0,0,0
203,Mr,Credit Card,0,4,0,0,0,0,1,0,0,0,0,0,0,1
204,Mrs,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0
205,Mr,Cash,0,4,0,1,0,1,0,0,0,0,0,0,0,0
206,Mrs,Invoice,0,5,0,0,0,2,0,0,0,0,0,0,0,0
207,Mrs,Credit Card,0,5,0,0,0,0,0,0,0,0,0,1,0,1
208,Company,Current Account,0,3,0,0,0,0,3,0,0,0,0,0,0,0
209,Mr,Invoice,0,4,0,0,0,3,1,0,0,0,0,0,0,0
210,Mr,Current Account,1,1,0,1,0,1,0,0,0,0,0,0,0,0
211,Mr,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0
212,Mr,Current Account,0,5,0,0,0,2,4,0,0,0,0,0,0,0
213,Mrs,Invoice,0,2,0,0,1,1,0,0,0,0,0,0,1,0
214,Others,Credit Card,0,5,0,0,0,1,0,0,1,0,0,0,0,0
216,Mrs,Current Account,0,4,0,0,0,1,1,0,0,0,0,0,0,0
217,Mr,Invoice,0,4,0,0,0,2,0,0,0,0,0,0,0,0
218,Mr,Invoice,0,3,0,1,0,1,0,0,0,0,0,0,0,0
219,Others,Invoice,0,3,0,0,1,2,0,0,0,0,0,0,0,0
220,Mr,Current Account,0,4,0,1,0,1,0,0,0,0,0,0,0,0
221,Mr,Invoice,0,1,0,0,1,0,0,0,0,0,0,0,0,0
222,Mrs,Invoice,0,1,0,1,1,0,1,0,0,0,0,0,0,0
223,Mr,Cash,0,3,0,0,0,0,0,0,0,0,0,0,0,0
226,Mr,Current Account,1,1,0,1,0,0,1,0,0,0,0,0,0,0
227,Mrs,Invoice,1,3,0,0,0,0,0,1,0,0,0,0,0,0
228,Company,Invoice,0,4,0,1,0,1,0,0,0,0,0,0,0,0
231,Mrs,Current Account,0,1,0,0,0,0,0,0,0,0,0,0,0,0
232,Others,Invoice,0,2,0,0,0,0,0,0,0,1,0,0,0,0
233,Mr,Invoice,1,1,0,0,0,0,0,0,0,1,0,0,0,0
234,Others,Invoice,0,4,0,0,0,1,0,0,0,0,0,0,0,0
235,Mrs,Cash,0,2,0,0,0,0,0,0,0,0,0,0,0,0
236,Mr,Invoice,0,1,0,1,1,0,1,0,0,0,0,0,0,1
237,Mr,Current Account,0,1,0,0,0,0,0,0,0,1,0,0,0,0
238,Mr,Invoice,0,4,0,0,0,0,0,4,0,0,0,0,0,0
239,Others,Invoice,0,4,0,0,0,0,0,2,0,0,0,0,0,1
240,Mrs,Invoice,0,3,0,0,1,1,0,0,0,0,0,1,0,0
242,Mrs,Credit Card,0,2,0,0,1,0,0,0,0,0,0,0,0,0
243,Others,Invoice,0,4,0,0,0,1,0,0,0,0,0,0,0,0
244,Others,Invoice,0,3,0,1,0,1,0,0,0,0,0,0,0,0
245,Mr,Cash,0,3,0,1,0,0,0,0,0,0,0,0,0,0
247,Mrs,Current Account,0,4,0,0,0,0,1,0,0,0,0,0,0,0
248,Mrs,Current Account,0,4,0,1,0,2,0,0,0,0,0,0,0,0
250,Mr,Credit Card,0,4,0,1,0,0,0,0,0,0,0,1,0,0
251,Mr,Current Account,0,4,0,1,0,0,0,0,0,0,0,0,0,1
252,Mrs,Current Account,0,2,0,0,0,0,0,0,0,0,0,0,0,1
253,Mr,Invoice,1,2,0,1,0,2,0,0,0,0,0,0,0,0
254,Mrs,Cash,0,2,0,0,0,1,0,0,0,0,0,0,0,0
255,Others,Invoice,0,1,0,0,1,1,0,0,0,0,0,0,0,0
257,Mrs,Current Account,0,2,0,1,1,0,0,0,0,0,0,0,0,0
258,Mr,Invoice,1,1,0,1,0,1,0,0,0,0,0,0,0,0
259,Mr,Cash,0,1,0,1,0,0,0,0,0,0,0,0,0,1
260,Others,Invoice,0,4,0,0,0,0,3,0,0,0,0,0,0,0
262,Mrs,Current Account,0,3,0,1,0,2,1,0,0,0,0,0,0,0
263,Company,Invoice,0,2,0,1,0,0,0,0,0,1,0,0,0,0
265,Mrs,Current Account,0,2,0,1,0,0,0,0,0,0,0,0,0,0
266,Mr,Invoice,1,1,0,1,0,1,0,0,0,0,0,0,0,0
267,Mrs,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0
268,Mrs,Current Account,1,1,0,1,0,1,0,0,0,0,0,0,0,0
269,Company,Current Account,0,4,0,0,0,2,0,0,0,0,0,0,0,0
270,Others,Current Account,0,2,0,0,0,0,0,0,0,0,0,0,0,0
271,Mrs,Credit Card,0,2,0,1,0,0,0,0,0,1,0,0,0,0
272,Mrs,Credit Card,0,3,0,1,0,1,0,0,0,0,0,0,0,1
273,Others,Current Account,0,3,0,0,0,1,0,0,0,0,0,0,0,0
274,Mr,Invoice,0,1,0,0,1,0,0,0,0,0,0,0,0,1
275,Mrs,Credit Card,0,1,0,1,0,0,0,0,0,0,0,0,0,0
276,Mr,Current Account,1,2,0,1,0,1,1,0,1,0,0,0,0,0
277,Mr,Credit Card,0,5,0,1,0,0,0,0,0,0,0,0,0,1
278,Company,Invoice,0,4,0,0,0,3,1,0,0,0,0,0,0,0
279,Mr,Current Account,1,2,0,1,0,1,0,0,0,0,0,0,0,0
280,Mr,Cash,0,4,0,0,0,0,0,0,0,0,0,0,0,0
281,Mr,Cash,0,5,0,1,0,4,0,0,0,0,0,0,0,0
282,Others,Cash,0,4,0,1,0,0,0,0,0,0,0,0,0,1
283,Mrs,Current Account,0,4,0,1,0,1,0,0,0,0,0,0,0,0
284,Mrs,Invoice,0,4,0,0,0,1,0,0,0,0,0,0,0,0
285,Mr,Invoice,0,4,0,0,0,2,0,0,0,0,0,0,0,0
286,Others,Cash,0,2,0,1,0,0,2,0,0,0,0,0,0,0
287,Mr,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0
288,Mr,Invoice,0,3,0,1,0,0,0,0,0,0,0,0,0,0
289,Mr,Current Account,0,4,0,1,0,0,0,1,0,0,0,0,0,1
290,Others,Invoice,1,1,0,0,0,0,0,0,0,1,0,0,0,0
291,Others,Current Account,0,2,0,0,1,0,0,0,0,0,0,0,0,0
292,Mr,Current Account,0,4,0,1,0,1,0,0,0,0,0,0,0,1
293,Mr,Invoice,0,4,0,1,0,0,0,0,0,0,0,0,0,1
294,Mr,Invoice,0,2,0,0,1,0,0,0,0,0,0,0,0,0
295,Mrs,Cash,0,1,0,1,0,1,0,0,0,0,0,0,0,0
296,Mr,Cash,0,5,0,1,0,0,0,2,0,0,0,0,0,1
297,Mr,Invoice,0,3,0,0,0,2,0,2,0,0,0,0,0,0
298,Mrs,Current Account,1,1,0,1,0,0,2,0,0,0,0,0,0,0
299,Mr,Cash,0,2,0,1,0,0,0,0,0,0,0,0,0,0
300,Mr,Cash,0,3,0,1,0,0,0,0,0,0,0,0,0,1
301,Mr,Current Account,1,3,0,1,0,2,1,0,0,0,0,0,0,0
302,Mr,Current Account,1,3,0,1,0,0,3,0,0,0,0,0,0,0
305,Others,Invoice,0,4,0,0,0,0,0,0,0,0,0,0,0,0
307,Mr,Current Account,0,4,0,1,0,0,0,0,0,0,0,0,0,0
309,Others,Current Account,0,4,0,0,0,0,0,0,0,0,0,0,0,0
310,Mr,Invoice,0,4,0,0,0,0,0,0,0,0,0,0,0,0
311,Mr,Cash,0,5,0,1,0,1,2,0,1,0,0,0,0,0
312,Mrs,Credit Card,1,1,0,0,0,0,0,0,0,0,0,0,0,0
313,Mr,Current Account,0,1,0,0,1,0,0,1,0,0,0,0,0,0
314,Company,Invoice,0,4,0,1,0,1,0,0,0,0,0,0,0,0
315,Mr,Cash,0,3,0,1,0,1,0,0,0,0,0,0,0,0
316,Mr,Invoice,0,1,0,0,1,0,0,0,0,0,0,0,0,0
318,Mr,Credit Card,0,2,0,0,0,0,0,0,0,1,0,0,0,0
319,Company,Credit Card,0,2,0,0,0,0,0,0,0,1,0,0,0,0
320,Mr,Cash,0,5,0,1,0,3,0,0,0,0,0,0,0,0
321,Mrs,Invoice,1,1,0,1,0,1,0,0,0,0,0,0,0,0
322,Others,Invoice,0,4,0,0,0,0,0,0,0,0,0,0,0,0
323,Mr,Invoice,0,3,0,0,0,0,2,0,0,0,0,0,0,0
324,Mrs,Current Account,1,3,0,0,0,0,1,0,0,0,0,0,0,1
325,Mr,Invoice,0,4,0,0,0,3,0,0,0,0,0,0,0,0
326,Mrs,Invoice,0,2,0,1,1,0,0,0,0,0,0,0,0,0
327,Mrs,Invoice,1,1,0,0,0,0,0,0,0,0,0,0,0,0
328,Mr,Invoice,0,5,0,1,0,1,4,0,0,0,0,0,0,0
329,Mrs,Invoice,0,4,0,0,0,0,0,0,0,0,0,0,0,0
330,Mr,Invoice,0,2,0,0,1,0,0,0,0,0,0,0,0,0
331,Mr,Current Account,0,3,0,0,0,1,0,0,0,0,0,0,0,0
332,Others,Invoice,0,3,0,0,0,1,0,0,0,0,0,0,0,0
334,Company,Invoice,0,1,0,0,0,0,0,0,0,0,0,0,0,0
335,Company,Current Account,0,5,0,0,0,0,0,0,0,0,0,0,0,1
336,Mr,Invoice,1,1,0,1,0,1,0,0,0,0,0,0,0,0
338,Mr,Invoice,1,3,0,1,0,1,0,0,0,0,0,0,0,0
339,Mrs,Cash,0,2,0,0,0,1,0,0,0,0,0,0,0,0
340,Mr,Cash,0,2,0,0,0,0,0,0,0,0,0,1,0,1
341,Mrs,Invoice,1,1,0,0,0,0,0,0,0,0,0,0,0,1
342,Mr,Invoice,0,4,0,0,0,2,1,0,0,0,0,0,0,0
343,Mr,Invoice,0,2,0,0,1,0,0,0,0,0,0,0,0,0
344,Mr,Invoice,1,1,0,1,0,0,4,0,0,0,0,0,0,0
345,Mr,Cash,0,5,0,1,0,0,0,0,0,0,0,0,0,0
346,Mr,Credit Card,0,2,0,0,1,0,0,0,0,0,0,1,0,0
348,Mrs,Invoice,1,1,0,1,0,1,0,0,0,0,0,0,0,0
349,Mr,Invoice,1,1,0,1,0,0,0,0,0,0,0,0,0,0
351,Mr,Current Account,0,3,0,1,0,1,0,0,0,0,0,0,0,0
352,Mrs,Credit Card,0,5,0,0,1,0,0,0,0,0,0,0,0,0
353,Company,Current Account,0,3,0,0,0,0,0,2,0,0,0,0,0,0
354,Mr,Invoice,0,2,0,0,1,1,0,0,0,0,0,0,0,0
355,Mrs,Current Account,0,3,0,0,1,1,1,0,0,0,0,0,0,1
356,Others,Cash,0,4,0,1,0,1,0,0,0,0,0,0,0,1
357,Others,Invoice,0,4,0,1,0,1,0,0,0,0,0,0,0,0
358,Company,Invoice,1,1,0,0,0,0,0,0,0,0,0,0,0,0
359,Mrs,Credit Card,0,3,0,1,1,0,0,0,0,0,0,0,0,0
360,Mr,Current Account,0,3,0,0,0,1,0,0,0,0,0,0,0,0
362,Mr,Invoice,0,5,0,1,0,1,1,0,0,0,0,1,0,0
363,Mrs,Credit Card,0,5,0,1,0,1,1,0,0,0,0,0,0,1
365,Mr,Invoice,0,4,0,0,0,0,0,0,0,0,0,0,0,0
368,Mrs,Invoice,0,2,0,0,1,0,2,0,0,0,0,0,0,0
369,Mr,Invoice,1,2,0,1,0,3,0,0,0,0,0,0,0,0
370,Mr,Invoice,0,2,0,0,1,1,0,0,0,0,0,0,0,0
372,Mr,Invoice,1,1,0,0,0,0,0,0,0,1,0,0,0,0
374,Others,Invoice,0,2,0,0,1,0,0,0,0,0,0,0,0,0
375,Mrs,Credit Card,0,3,0,0,0,1,0,0,0,0,0,0,0,0
376,Mrs,Current Account,0,3,0,0,0,0,0,0,0,0,0,0,0,0
377,Mr,Invoice,1,1,0,0,0,0,0,0,0,1,0,0,0,0
378,Mrs,Current Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0
381,Mrs,Credit Card,1,1,0,1,0,2,0,0,0,0,0,0,0,0
382,Mrs,Current Account,1,1,0,1,0,1,0,0,0,0,0,0,0,0
383,Mr,Current Account,0,2,0,0,1,1,0,0,0,0,0,0,0,0
385,Mr,Invoice,0,5,0,0,0,0,0,0,0,0,0,0,0,0
386,Others,Credit Card,0,2,0,0,1,0,0,0,0,0,0,0,0,0
387,Mrs,Cash,0,1,0,0,0,0,0,1,0,0,0,0,0,0
388,Mr,Current Account,0,4,0,1,0,2,0,0,0,0,0,0,0,0
389,Mrs,Cash,0,3,0,1,0,0,0,0,0,0,0,0,0,0
391,Mr,Credit Card,0,4,0,1,1,0,0,0,0,0,0,0,0,0
392,Mr,Cash,0,1,0,0,0,0,0,0,0,0,0,0,0,0
393,Mrs,Cash,0,1,0,1,0,0,0,0,0,0,0,0,0,1
394,Mr,Current Account,0,2,0,0,0,0,0,0,0,1,0,0,0,0
395,Others,Current Account,1,1,0,1,0,0,4,0,0,0,0,0,0,0
396,Mrs,Invoice,1,1,0,1,0,1,0,0,0,0,0,0,0,0
397,Mr,Current Account,0,4,0,1,0,0,3,1,0,0,0,0,0,0
398,Mr,Invoice,0,3,0,0,0,0,0,1,0,0,0,0,0,0
399,Mr,Invoice,0,3,0,1,0,0,0,0,0,0,0,0,0,0
400,Mr,Invoice,0,4,0,0,0,5,0,0,0,0,0,0,0,0
401,Mr,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0
402,Mr,Cash,0,5,0,1,0,4,0,0,0,0,0,0,0,0
404,Mrs,Current Account,0,4,0,1,0,1,0,0,0,0,0,0,0,0
405,Others,Credit Card,0,5,0,0,0,0,0,0,0,0,0,0,0,0
406,Mr,Current Account,0,2,0,0,0,0,0,0,0,1,0,0,0,0
407,Mr,Invoice,0,4,0,0,0,1,0,0,0,0,0,0,0,0
409,Mr,Current Account,0,2,0,1,1,0,1,0,0,0,0,0,0,0
410,Mrs,Credit Card,0,4,0,1,0,1,0,0,0,0,0,0,0,0
411,Mrs,Invoice,0,1,0,1,1,0,0,0,0,0,0,0,0,0
412,Mrs,Current Account,0,1,0,0,0,0,0,0,0,1,0,0,0,1
413,Mr,Credit Card,0,3,0,0,0,2,0,0,0,0,0,0,0,0
414,Mr,Cash,0,5,0,1,0,3,0,0,0,0,0,0,0,1
415,Mr,Invoice,0,3,0,0,0,0,2,0,0,0,0,0,0,1
